i_mid_deg,node_mid_deg,diff_mid_deg,q_mid,p_mid
1.7,144.39,2.13,-0.02411863119636358,0.017273611878561083
7.16,356.53,9.85,0.12441206362892875,-0.007543984186086455
10.0,133.26,6.41,-0.11900285080152777,0.12645952359611007
7.5,151.89,4.56,-0.11512992894534274,0.06149948224583833
7.15,133.51,3.58,-0.08569346254838288,0.09027050887767357
5.39,128.77,1.77,-0.05882141023107589,0.07323757265205752
5.06,82.63,3.4,0.011313833135967821,0.08747024893814247
2.08,47.45,3.79,0.02454380481331727,0.02673798050174213
4.6,105.31,1.68,-0.021175835694749626,0.07735277271135797
3.74,352.88,6.75,0.06472597096125435,-0.008084991012624953
7.12,121.38,3.48,-0.06454109443766368,0.10581832889200235
10.0,140.42,6.56,-0.13383684955529468,0.11064080308891122
3.89,146.91,1.46,-0.05683827548541801,0.03703827140480039
3.38,340.33,6.7,0.05551754230499905,-0.019845368589308115
10.0,126.52,6.35,-0.10333861216166375,0.13955221547344582
6.0,22.61,7.65,0.09649473284543192,0.04018664163855823
9.39,4.7,11.65,0.16260514741048057,0.013368576626370662
10.0,138.98,6.52,-0.13101416850236386,0.11396919434075162
4.19,62.06,4.11,0.03423395674591322,0.06454768439846478
5.94,145.69,2.84,-0.08548020933244518,0.058332509372950016
5.93,112.84,2.48,-0.04010201341826794,0.09521279516837838
6.49,356.45,9.21,0.11281291306998951,-0.006998754768568568
4.62,37.79,5.74,0.0636531211998943,0.04935663038320715
4.55,128.13,0.93,-0.048981543649994616,0.062401161897900244
3.91,96.9,1.84,-0.008192061166632056,0.06769554574265707
6.22,131.87,2.64,-0.07231500060576443,0.08068133172149974
3.11,77.28,2.77,0.01194580969140435,0.05292159645472848
3.53,324.64,7.07,0.05021324650827623,-0.03563196309359568
7.37,340.98,10.54,0.1212730780391947,-0.041805026481580874
5.84,32.45,7.01,0.08586345633386648,0.05459577204526471
4.87,143.05,1.81,-0.06784490201745637,0.0510320361593829
7.59,156.32,4.86,-0.12096234280245004,0.053048403748797844
4.13,133.34,0.75,-0.04942900723912323,0.05237947559505183
7.33,112.33,3.85,-0.048474314078165395,0.11801654172116885
4.13,17.0,6.29,0.06887277520741096,0.021056520498110885
10.0,138.83,6.52,-0.1307153492119128,0.1143117976739649
6.62,165.65,4.53,-0.11168701712852018,0.028572484669269142
7.8,172.73,5.99,-0.13462453289287377,0.017174159209302358
10.0,147.14,6.76,-0.14586427253085774,0.09421944388548185
5.14,108.86,1.92,-0.028960465528852116,0.0847796884131486
3.44,121.58,0.29,-0.03142302215437496,0.05111736614498416
4.61,103.98,1.77,-0.0194167395822511,0.07799225787343586
8.24,336.64,11.5,0.13157219984009108,-0.05682735234511321
3.88,33.09,5.41,0.05669238537469778,0.036943203117277855
4.94,88.1,2.97,0.002855074718815794,0.08606513923139578
3.58,323.71,7.13,0.05033033666893697,-0.03695778526254355
9.62,147.77,6.42,-0.14136315975949987,0.08912453713679967
3.26,155.41,1.86,-0.051709696068980515,0.02366363133013957
1.9,52.48,3.57,0.020192774293372205,0.02629672451678966
7.61,139.78,4.19,-0.10111919715977156,0.08551286902604313
8.53,348.4,11.45,0.14529769151895205,-0.02982533273466051
6.01,145.55,2.9,-0.08633941146438079,0.05922856483155507
4.55,151.96,2.11,-0.07001736772253658,0.03729161892103073
1.19,134.93,2.49,-0.014667188301719147,0.0147030708602901
3.39,149.11,1.5,-0.050744519336371245,0.03035794065787194
2.41,15.22,5.0,0.04057512441622889,0.011039227655864988
2.89,34.44,4.67,0.04158119577037299,0.028513898346455246
4.61,96.33,2.24,-0.008861491931820153,0.079882889437875
9.38,143.86,6.05,-0.13162039038775944,0.09612006129232756
4.4,18.23,6.47,0.0728683760605232,0.024000188478963257
2.35,15.99,4.94,0.039417295443893594,0.011295282682186708
3.19,123.63,0.47,-0.03081897867319741,0.046333640551252914
5.66,121.01,2.03,-0.050810407624994725,0.08452929745329403
3.37,70.04,3.24,0.020066636791089217,0.05525262075442998
6.92,145.11,3.72,-0.09882669101474087,0.0689168150415859
2.28,66.34,3.13,0.015965255287016922,0.03643896467420558
8.05,140.61,4.64,-0.10822697312358003,0.08886700855610491
9.9,151.56,6.84,-0.15118006207207255,0.08187920587531096
3.81,42.1,4.93,0.04930284674023582,0.04454854055846059
5.17,89.36,3.05,0.0010065299842279979,0.09010550236376608
6.42,142.72,3.15,-0.08897016321446939,0.06772803505373846
9.82,144.36,6.49,-0.13860780250730867,0.09937987801983288
4.95,335.17,8.31,0.07830985823123102,-0.03623400373154398
4.33,341.73,7.57,0.07169482541571386,-0.023669158554624453
7.15,155.78,4.43,-0.11351140469663723,0.051061681331126235
6.52,96.7,3.72,-0.013247965565780869,0.11277455592680305
5.73,354.02,8.57,0.09929744480191546,-0.010401539036528651
8.42,10.45,10.47,0.1439996164876885,0.026558792397915396
10.0,143.08,6.63,-0.1388273809340634,0.10431034421395725
4.6,330.6,8.04,0.06987041051228488,-0.039369952988933435
8.61,336.72,11.87,0.13751935177507094,-0.05916829147073841
6.11,110.38,2.73,-0.03706635138523845,0.09977500368264632
10.0,156.66,7.16,-0.15943854983955716,0.06879708156677032
4.13,93.07,2.18,-0.0038570847500875405,0.07191633414940286
