a e inc Omega omega Manom LibCen LibAmp KozCen KozAmp
39.45129044482228 0.306243684964473 48.1033356243303 93.1440253088374 67.68703142733293 335.6756246329964 172.5 76.5 82.5 30.0
39.28857150185727 0.277075659710919 17.927612502881452 98.72821490836546 272.6252766857761 343.4837961460677 172.5 84.0 262.5 45.0
39.28925827185423 0.294437596933191 27.60779015609506 116.36526226292071 126.17055740733342 79.82207544946571 172.5 94.5 82.5 60.0
39.379666969023894 0.269602292648738 33.81546470768574 183.84596497134126 288.28869107775546 161.9209792671339 172.5 60.0 262.5 30.0
39.22317724944598 0.279902487752968 29.28259723415169 53.47225331320797 295.07951521110556 109.00171174759565 172.5 120.0 262.5 45.0
39.50796038635483 0.293115605605988 17.57755729551489 133.40645729086296 296.4698741608773 170.29865081582534 172.5 87.0 262.5 75.0
39.47599241066731 0.263536447364603 25.304648304705353 302.8300127304184 269.3676511458215 316.29411324430873 172.5 60.0 262.5 30.0
39.31416101483011 0.378735471703447 50.75743725610557 235.64995102932545 95.54347263361672 348.98703785564953 172.5 75.0 82.5 30.0
39.295711473686275 0.274704381063046 24.78047102569111 326.0744245063357 98.23076970260554 31.528016602872757 174.0 108.0 82.5 45.0
39.45753469398569 0.362946019697812 38.974911781017674 312.90649388924953 111.3616839924289 57.582927456304894 173.25 33.75 82.5 45.0
39.23404559135904 0.235435468223512 27.908880144730425 204.3708465584951 122.92336788311049 232.08074808206453 172.5 102.0 82.5 60.0
39.4622136532838 0.235883866650765 17.196040431327727 146.23551455976823 119.82473364407333 291.2761094256664 172.5 60.0 82.5 60.0
39.52720523065689 0.23824778167235 26.86374836049213 144.59201053862787 251.2979622155004 310.30184970597105 171.75 102.75 262.5 45.0
39.486607905896925 0.21489652864372 25.464244418504492 122.51844074564133 73.561260135751 66.47825767781276 172.5 105.0 82.5 60.0
39.312852148311386 0.289237989739754 22.715169966187137 214.4092130903101 250.0915065873503 12.674996842866062 171.75 99.75 262.5 60.0
