a e inc Omega omega Manom
39.59942315447042 0.241135312874184 24.830467398537202 112.31709533611081 217.3068561660476 111.32362942061764
39.26723176307217 0.360524481175506 34.88266145505799 274.65626130648275 132.2321888806127 205.26628723406614
39.30726784984074 0.310422003316452 39.22028711009696 96.92363810501217 150.9497618747385 43.054755651298684
39.510602491787765 0.262196810698857 25.93081953238363 163.91145687310407 53.01250949825948 50.1475928576255
39.33533173645584 0.252220893763288 22.433453326158883 99.6803883818938 35.398004905672934 266.66377268578594
39.20916310653356 0.248661518046467 27.947786824219918 278.0179812098786 164.5576715050094 278.1629428085698
39.4322480661174 0.308872775308773 30.286875895028654 237.9477625166093 26.35681128303171 13.874113629096449
39.41228884089808 0.300777318174948 25.490568971628647 23.52786462160925 208.69691884334708 62.87746398751989
39.476320425204044 0.348460994634375 32.71545999173465 244.50238332452136 240.25795744466927 278.7951461830535
39.45117913899187 0.272716606714964 14.74111268879784 213.44238175556254 343.0638512638477 83.73178509773615
39.35936809024821 0.190721652034625 46.428243999873274 219.79514910612713 48.01504939462734 278.2480109414981
39.291145638330754 0.214546140461422 29.65430974222116 95.43003494657584 126.04384094650555 177.4167743030083
39.4683694208521 0.237502682166607 29.088751356207016 342.3640351795089 171.93897810156764 89.40598074870645
39.3312810846231 0.222278452917502 23.915524424383374 266.3811414371809 305.54279054423927 217.34843787306795
39.31367170102386 0.209603940859604 40.55700334222341 352.4317137030054 86.9519028948296 173.16122849190788
39.29117932739817 0.265489961087518 23.656059408937566 293.7031855870899 308.0331726828894 24.42293071450905
39.21052743012395 0.258146793030158 25.76528033789264 41.12301721508011 128.83921371941418 210.09457704810478
39.304274623765956 0.309683533573636 15.733828153623776 236.42149002371343 239.59998202547075 125.8215409094564
39.45583162556522 0.193373726215257 31.658968650066 258.7055241094982 59.53720419382809 140.71718714688924
39.388311334494 0.326266019590108 24.351625315854825 227.9732195181812 117.05246898413378 202.01830755982863
39.42662811122577 0.287380194483237 22.680749851081533 60.10864307783857 353.08099041265524 90.94604068051484
39.28104014229473 0.331786830412458 26.377943942527423 268.22082761878244 247.68348721897405 254.0433235415614
39.19354299372442 0.213479487581062 30.764705572020112 210.8482548443956 180.83271820206707 317.27850549508724
39.31179872007304 0.379971091741979 32.94122164634375 240.61878369292992 232.4741484929189 260.464325071619
39.428432182397245 0.316692544538172 29.900870184818682 326.2891404289498 144.88630101553292 261.26109412939337
39.487045142766476 0.229994643446583 12.237198847637345 270.21003723045976 135.04335231685104 157.6782447654802
39.46607453626675 0.380231803811917 29.716326711514583 169.63218550676234 298.3725394433306 276.78365403935106
39.44864192263798 0.355707730143842 31.063126384169443 344.67233085461595 230.06200164469823 182.48169224315632
39.28240852168718 0.278412050903142 23.966362536066534 190.89899224294632 343.82151525450496 123.06897516301332
39.514648339183275 0.251358179278825 26.863578630816892 32.22357517368414 220.006284273893 268.74441874906483
39.384430345359014 0.231228745710055 37.9948553370742 168.71473193583265 116.28626988908614 235.22725277090746
39.24296527164456 0.274929736066134 37.28358574684226 160.2131090171864 244.71653950769297 165.68081411358204
39.42800265939709 0.312900967157825 15.996970047875726 263.59444562632916 66.85275571350606 10.358894671750404
39.15585888212017 0.269908413144794 20.37812081705665 122.35346552972872 134.6317156508729 183.67521015897216
39.508394071390086 0.357067344628719 32.38963017641884 159.4622009202675 131.13823729373848 268.70703335608647
39.39712310867355 0.261500516732874 30.352230794304514 320.8002739785011 146.01257554636047 273.3416905475432
39.3757817065263 0.322535869298145 33.662404832557904 84.40716922309342 87.58182449540627 133.8836287343019
39.38990145989612 0.385028902360223 39.797056780989394 196.90576350285014 69.37122730762435 276.5911244318605
39.46836439782568 0.294080992869519 23.248751798481745 112.90453123255055 71.98308320976471 310.11438816288796
39.51359901315365 0.206742610548293 32.725136554311426 18.769296417830745 37.82266546100548 52.2025439498136
39.312682084310914 0.361689843341912 39.46607558447596 209.5698062216991 123.53996688065179 239.8159344626772
39.36990455147488 0.322693041115419 21.114060249400456 178.84093134103486 286.81305215933065 273.88809249357564
39.58887100636556 0.23049449757657 16.72572358684998 28.54117287756973 89.38811390105307 133.45970451128935
39.26337707218743 0.288006771206514 14.212331741329743 301.3160818497965 2.141518949029683 222.92105964224834
39.28452054733866 0.255540983067954 21.495818132122682 240.94389145743943 237.85361359418235 247.23875794579027
39.3502810614009 0.263870432978389 28.365721204889862 324.4949979017569 138.52159581000743 141.7290523320696
39.40545050792954 0.266000177010506 21.690358724852068 223.15344612083194 337.8414479029621 175.98763926035804
39.26487539973574 0.299602587527134 27.584231498252947 351.03704319796725 251.5818674832373 314.23249860462374
39.35116667175236 0.277484990741238 20.338953680726586 108.24981645013084 222.9878271707725 126.64627547381546
39.56822010195705 0.281414950959248 29.83208205665763 76.25120444643629 247.19540749545857 347.55373578802374
39.51960842897832 0.248796139877328 15.886253120618758 249.30592892805652 183.0972905445465 31.713288586009647
39.2711291578838 0.243590957461196 24.664708500923616 97.86416192769835 302.9902616995214 289.6387612809627
39.55093160108827 0.283619724503267 27.02680805705129 239.8459053154886 309.90321685471895 67.48581602312031
39.3146822504632 0.326119767953628 24.99561804049704 343.54558828967066 117.84611989074777 273.41358558910304
39.36002243195927 0.312197748175446 30.854576380041667 209.42279361452822 165.4974190825016 77.53880840618342
39.47076942976474 0.224141355457812 30.778356160371157 351.7585400729274 236.91306369576756 318.4953158313122
39.416944062072425 0.217971632602909 13.635680534055862 206.25596251518013 241.21440266554296 248.88464774462847
39.2628044337715 0.243022884711219 23.568864345690724 157.63336917426514 139.34822328420634 0.289604334545415
39.32410591783757 0.238602940179768 29.297100041688267 123.40041434763415 41.34870852998254 94.00394244011973
39.25851692042795 0.286508112890052 20.170189927845662 50.01407122898287 239.42915053161641 166.76885986847884
39.51429192650837 0.203884393064271 13.319119164939735 1.793796912037005 265.47466894129843 257.21901304121945
39.61148885257643 0.216092311756118 19.477163894404825 153.23839459847827 252.2088146327575 196.9385200941629
39.297860394714824 0.317760594634169 29.01140953701873 150.0446654745162 200.22233614383242 95.3348423730582
39.51747329395219 0.267495512779539 19.165013646325633 197.7093742521737 251.07794016464686 272.5755396771852
39.33131514827729 0.216586866373034 32.748878527853094 295.9112005928965 126.36984254041347 315.64317812597596
39.198861835385806 0.237402793799125 37.46549753177133 273.37305258545405 267.9722781786738 343.8780004316871
39.21921565881845 0.251781912302431 23.004619493409574 140.48973592172038 227.67470966649958 65.52866908223234
39.38463332908902 0.214269458210199 24.277344738401126 83.65429051328039 116.0602695438331 225.55202737909778
