i_mid_deg,node_mid_deg,diff_mid_deg,q_mid,p_mid
10.0,11.18,1.6,0.17035283816834249,0.03366897882378261
10.0,0.48,0.26,0.17364208405343728,0.0014547345547616718
10.0,7.2,0.91,0.17227890991982997,0.02176388760954518
8.65,3.92,1.39,0.15004627909267368,0.010281749804618403
10.0,349.76,2.11,0.17088226428650038,-0.03086974828799923
10.0,349.69,2.13,0.17084442225201607,-0.031078497267735372
10.0,18.38,2.84,0.1647897131706659,0.05475436092381555
10.0,355.11,1.19,0.17301613113380782,-0.014802296258851867
10.0,359.0,0.51,0.17362173020838784,-0.0030305785737368943
10.0,1.3,0.11,0.17360348224486843,0.0039396141310352505
10.0,341.63,3.51,0.164799267099506,-0.05472559885932249
4.4,64.96,8.9,0.032471396236207754,0.06950840023475424
7.7,29.29,4.73,0.11685667766303587,0.06555009358118621
10.0,357.43,0.79,0.17347351970044314,-0.0077863707711467904
10.0,357.11,0.84,0.17342732707093578,-0.008755103201931746
7.2,2.98,2.8,0.12516375077291478,0.006515744634354544
9.79,6.15,0.75,0.16905891612013177,0.01821641679382531
10.0,18.78,2.91,0.16440344291554004,0.055903466480734125
10.0,0.65,0.23,0.17363700345188596,0.0019699338302469655
10.0,357.91,0.7,0.173532662400209,-0.0063328261732731525
10.0,0.46,0.26,0.17364258127270082,0.0013941219456299397
10.0,12.58,1.84,0.1694793796165042,0.03782101918048562
10.0,3.65,0.29,0.1732959416025939,0.011054692719210613
3.63,43.7,7.68,0.04577327419518605,0.04374189092516238
9.96,5.1,0.55,0.17227587015311902,0.015375211802136114
10.0,11.44,1.64,0.17019829975174575,0.03444166617137886
10.0,355.68,1.09,0.17315482587461595,-0.013080362509396771
10.0,20.13,3.14,0.16304073696406032,0.059761255820656015
8.28,8.49,2.01,0.1424326614038503,0.021261290100278215
10.0,351.58,1.8,0.17177647259828127,-0.02542701454629956
10.0,359.78,0.38,0.17364689757901516,-0.0006667594984871598
10.0,10.85,1.54,0.1705439309575102,0.0326872638898669
10.0,9.91,1.38,0.1710572259730541,0.02988503052448344
10.0,3.01,0.18,0.17340861007052208,0.00911830907873991
8.61,12.04,2.14,0.14641466890009208,0.031228249375819403
10.0,356.18,1.0,0.17326237891719254,-0.01156882271456323
10.0,358.8,0.55,0.173610093752005,-0.003636613048680594
10.0,6.02,0.7,0.17269056830330193,0.018211458649114682
9.34,9.51,1.43,0.16006231218175643,0.026813964229909056
10.0,5.26,0.57,0.17291693518214551,0.01591926927529918
10.0,3.34,0.24,0.17335321645089266,0.01011691421213818
10.0,345.29,2.88,0.16795658930296808,-0.04409391927193482
10.0,6.05,0.71,0.17268100913423773,0.018301876718716772
10.0,348.68,2.3,0.17027006086945176,-0.03408512840754734
10.0,354.78,1.25,0.17292800678897055,-0.015798546611620796
10.0,352.02,1.72,0.1719666709908957,-0.024107129139630767
10.0,344.87,2.96,0.16762885437514985,-0.04532390967161372
10.0,3.11,0.2,0.17339243151068812,0.009420950156811594
10.0,353.51,1.47,0.17253537037808375,-0.01962741897304013
10.0,352.77,1.59,0.17226749075982592,-0.021854089648372363
10.0,9.49,1.31,0.17127169690883892,0.028630323871947607
7.63,358.21,2.44,0.13271058059793972,-0.004147412898346124
9.21,355.01,1.4,0.15944685348177298,-0.013921750808202236
10.0,5.07,0.54,0.1729687746254363,0.015345768524933015
10.0,353.88,1.4,0.17265852030522733,-0.018512832658866822
10.0,345.59,2.83,0.16818516116209223,-0.04321390021656072
10.0,1.27,0.12,0.1736055212247199,0.003848715024411851
4.74,43.21,7.15,0.06022791866096406,0.05657756488456148
